PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,RelativeHumidity,WindSpeed10m,Zenith
2020-07-08T02:00:00Z,2020-07-08T01:00:00Z,PT60M,7.7,91,50.6,0,0,0,0,73.0,1.5,135
2020-07-08T03:00:00Z,2020-07-08T02:00:00Z,PT60M,7.6,101,52.3,0,0,0,0,73.8,1.4,148
2020-07-08T04:00:00Z,2020-07-08T03:00:00Z,PT60M,7.8,118,84.0,0,0,0,0,73.8,1.2,160
2020-07-08T05:00:00Z,2020-07-08T04:00:00Z,PT60M,7.9,161,86.8,0,0,0,0,73.2,1.4,168
2020-07-08T06:00:00Z,2020-07-08T05:00:00Z,PT60M,7.7,-138,87.1,0,0,0,0,72.4,1.5,165
2020-07-08T07:00:00Z,2020-07-08T06:00:00Z,PT60M,7.4,-110,86.5,0,0,0,0,72.7,1.4,155
2020-07-08T08:00:00Z,2020-07-08T07:00:00Z,PT60M,7.2,-96,87.6,0,0,0,0,74.1,1.5,143
2020-07-08T09:00:00Z,2020-07-08T08:00:00Z,PT60M,7.4,-88,78.6,0,0,0,0,74.5,1.9,130
2020-07-08T10:00:00Z,2020-07-08T09:00:00Z,PT60M,7.3,-80,84.6,0,0,0,0,74.5,2.1,118
2020-07-08T11:00:00Z,2020-07-08T10:00:00Z,PT60M,6.6,-73,89.3,0,0,0,0,81.3,1.2,106
2020-07-08T12:00:00Z,2020-07-08T11:00:00Z,PT60M,5.6,-66,50.7,1,0,0,1,89.3,0.4,94
2020-07-08T13:00:00Z,2020-07-08T12:00:00Z,PT60M,5.3,-57,56.4,34,0,0,34,89.7,2.0,83
2020-07-08T14:00:00Z,2020-07-08T13:00:00Z,PT60M,5.7,-47,56.1,102,0,0,102,87.4,3.2,73
2020-07-08T15:00:00Z,2020-07-08T14:00:00Z,PT60M,6.6,-35,32.9,214,88,39,253,82.7,3.5,65
2020-07-08T16:00:00Z,2020-07-08T15:00:00Z,PT60M,8.0,-21,24.2,242,225,118,360,76.9,3.5,59
2020-07-08T17:00:00Z,2020-07-08T16:00:00Z,PT60M,9.3,-5,20.8,250,293,163,414,72.0,3.0,56
2020-07-08T18:00:00Z,2020-07-08T17:00:00Z,PT60M,10.5,12,5.1,114,677,369,483,66.6,2.4,57
2020-07-08T19:00:00Z,2020-07-08T18:00:00Z,PT60M,11.3,27,0.0,61,780,379,440,62.5,1.4,61
2020-07-08T20:00:00Z,2020-07-08T19:00:00Z,PT60M,11.3,40,0.0,54,707,266,320,63.2,1.3,68
