PeriodEnd,PeriodStart,Period,Dhi,Dni,Ghi
2020-12-31T02:00:00Z,2020-12-31T01:00:00Z,PT60M,0,0,0
2020-12-31T03:00:00Z,2020-12-31T02:00:00Z,PT60M,0,0,0
2020-12-31T04:00:00Z,2020-12-31T03:00:00Z,PT60M,0,0,0
2020-12-31T05:00:00Z,2020-12-31T04:00:00Z,PT60M,0,0,0
2020-12-31T06:00:00Z,2020-12-31T05:00:00Z,PT60M,0,0,0
2020-12-31T07:00:00Z,2020-12-31T06:00:00Z,PT60M,0,0,0
2020-12-31T08:00:00Z,2020-12-31T07:00:00Z,PT60M,0,0,0
2020-12-31T09:00:00Z,2020-12-31T08:00:00Z,PT60M,0,0,0
2020-12-31T10:00:00Z,2020-12-31T09:00:00Z,PT60M,5,10,5
2020-12-31T11:00:00Z,2020-12-31T10:00:00Z,PT60M,34,501,127
2020-12-31T12:00:00Z,2020-12-31T11:00:00Z,PT60M,50,789,339
2020-12-31T13:00:00Z,2020-12-31T12:00:00Z,PT60M,63,902,563
2020-12-31T14:00:00Z,2020-12-31T13:00:00Z,PT60M,73,966,768
2020-12-31T15:00:00Z,2020-12-31T14:00:00Z,PT60M,82,998,930
2020-12-31T16:00:00Z,2020-12-31T15:00:00Z,PT60M,89,1010,1038
2020-12-31T17:00:00Z,2020-12-31T16:00:00Z,PT60M,93,1012,1084
2020-12-31T18:00:00Z,2020-12-31T17:00:00Z,PT60M,176,877,1025
2020-12-31T19:00:00Z,2020-12-31T18:00:00Z,PT60M,106,968,980
2020-12-31T20:00:00Z,2020-12-31T19:00:00Z,PT60M,92,951,847
2020-12-31T21:00:00Z,2020-12-31T20:00:00Z,PT60M,84,896,662
2020-12-31T22:00:00Z,2020-12-31T21:00:00Z,PT60M,139,556,407
2020-12-31T23:00:00Z,2020-12-31T22:00:00Z,PT60M,84,421,205
2021-01-01T00:00:00Z,2020-12-31T23:00:00Z,PT60M,22,164,43
2021-01-01T01:00:00Z,2021-01-01T00:00:00Z,PT60M,0,0,0
2021-01-01T02:00:00Z,2021-01-01T01:00:00Z,PT60M,0,0,0
2021-01-01T03:00:00Z,2021-01-01T02:00:00Z,PT60M,0,0,0
2021-01-01T04:00:00Z,2021-01-01T03:00:00Z,PT60M,0,0,0
2021-01-01T05:00:00Z,2021-01-01T04:00:00Z,PT60M,0,0,0
2021-01-01T06:00:00Z,2021-01-01T05:00:00Z,PT60M,0,0,0
2021-01-01T07:00:00Z,2021-01-01T06:00:00Z,PT60M,0,0,0
2021-01-01T08:00:00Z,2021-01-01T07:00:00Z,PT60M,0,0,0
2021-01-01T09:00:00Z,2021-01-01T08:00:00Z,PT60M,0,0,0
2021-01-01T10:00:00Z,2021-01-01T09:00:00Z,PT60M,4,21,5
2021-01-01T11:00:00Z,2021-01-01T10:00:00Z,PT60M,42,420,118
2021-01-01T12:00:00Z,2021-01-01T11:00:00Z,PT60M,68,696,323
2021-01-01T13:00:00Z,2021-01-01T12:00:00Z,PT60M,88,817,541
2021-01-01T14:00:00Z,2021-01-01T13:00:00Z,PT60M,103,886,740
2021-01-01T15:00:00Z,2021-01-01T14:00:00Z,PT60M,117,921,900
2021-01-01T16:00:00Z,2021-01-01T15:00:00Z,PT60M,135,925,1004
2021-01-01T17:00:00Z,2021-01-01T16:00:00Z,PT60M,141,930,1052
2021-01-01T18:00:00Z,2021-01-01T17:00:00Z,PT60M,138,931,1038
2021-01-01T19:00:00Z,2021-01-01T18:00:00Z,PT60M,115,942,966
2021-01-01T20:00:00Z,2021-01-01T19:00:00Z,PT60M,105,915,831
2021-01-01T21:00:00Z,2021-01-01T20:00:00Z,PT60M,95,857,647
2021-01-01T22:00:00Z,2021-01-01T21:00:00Z,PT60M,80,757,434
2021-01-01T23:00:00Z,2021-01-01T22:00:00Z,PT60M,57,579,218
2021-01-02T00:00:00Z,2021-01-01T23:00:00Z,PT60M,22,146,41
2021-01-02T01:00:00Z,2021-01-02T00:00:00Z,PT60M,0,0,0
2021-01-02T02:00:00Z,2021-01-02T01:00:00Z,PT60M,0,0,0
2021-01-02T03:00:00Z,2021-01-02T02:00:00Z,PT60M,0,0,0
2021-01-02T04:00:00Z,2021-01-02T03:00:00Z,PT60M,0,0,0
2021-01-02T05:00:00Z,2021-01-02T04:00:00Z,PT60M,0,0,0
2021-01-02T06:00:00Z,2021-01-02T05:00:00Z,PT60M,0,0,0
2021-01-02T07:00:00Z,2021-01-02T06:00:00Z,PT60M,0,0,0
2021-01-02T08:00:00Z,2021-01-02T07:00:00Z,PT60M,0,0,0
2021-01-02T09:00:00Z,2021-01-02T08:00:00Z,PT60M,0,0,0
2021-01-02T10:00:00Z,2021-01-02T09:00:00Z,PT60M,2,0,2
2021-01-02T11:00:00Z,2021-01-02T10:00:00Z,PT60M,57,104,81
2021-01-02T12:00:00Z,2021-01-02T11:00:00Z,PT60M,141,352,269
2021-01-02T13:00:00Z,2021-01-02T12:00:00Z,PT60M,133,671,507
2021-01-02T14:00:00Z,2021-01-02T13:00:00Z,PT60M,127,825,719
2021-01-02T15:00:00Z,2021-01-02T14:00:00Z,PT60M,137,874,880
2021-01-02T16:00:00Z,2021-01-02T15:00:00Z,PT60M,140,906,990
2021-01-02T17:00:00Z,2021-01-02T16:00:00Z,PT60M,141,919,1041
2021-01-02T18:00:00Z,2021-01-02T17:00:00Z,PT60M,138,922,1030
2021-01-02T19:00:00Z,2021-01-02T18:00:00Z,PT60M,133,909,955
2021-01-02T20:00:00Z,2021-01-02T19:00:00Z,PT60M,120,884,822
2021-01-02T21:00:00Z,2021-01-02T20:00:00Z,PT60M,101,838,643
2021-01-02T22:00:00Z,2021-01-02T21:00:00Z,PT60M,81,749,432
2021-01-02T23:00:00Z,2021-01-02T22:00:00Z,PT60M,56,586,218
2021-01-03T00:00:00Z,2021-01-02T23:00:00Z,PT60M,22,156,42
2021-01-03T01:00:00Z,2021-01-03T00:00:00Z,PT60M,0,0,0
2021-01-03T02:00:00Z,2021-01-03T01:00:00Z,PT60M,0,0,0
2021-01-03T03:00:00Z,2021-01-03T02:00:00Z,PT60M,0,0,0
2021-01-03T04:00:00Z,2021-01-03T03:00:00Z,PT60M,0,0,0
2021-01-03T05:00:00Z,2021-01-03T04:00:00Z,PT60M,0,0,0
2021-01-03T06:00:00Z,2021-01-03T05:00:00Z,PT60M,0,0,0
2021-01-03T07:00:00Z,2021-01-03T06:00:00Z,PT60M,0,0,0
2021-01-03T08:00:00Z,2021-01-03T07:00:00Z,PT60M,0,0,0
