PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,GtiTracking,WindSpeed10m,Zenith
2019-04-24T00:00:00Z,2019-04-23T23:00:00Z,PT60M,10.7,86,24.5,0,0,0,0,0,1.0,107
2019-04-24T01:00:00Z,2019-04-24T00:00:00Z,PT60M,9.9,94,36.7,0,0,0,0,0,1.1,119
2019-04-24T02:00:00Z,2019-04-24T01:00:00Z,PT60M,9.2,104,28.3,0,0,0,0,0,1.0,132
2019-04-24T03:00:00Z,2019-04-24T02:00:00Z,PT60M,8.5,117,28.6,0,0,0,0,0,1.0,144
2019-04-24T04:00:00Z,2019-04-24T03:00:00Z,PT60M,8.2,138,28.1,0,0,0,0,0,1.1,154
2019-04-24T05:00:00Z,2019-04-24T04:00:00Z,PT60M,8.3,173,31.3,0,0,0,0,0,1.0,159
2019-04-24T06:00:00Z,2019-04-24T05:00:00Z,PT60M,8.3,-149,31.6,0,0,0,0,0,1.0,156
2019-04-24T07:00:00Z,2019-04-24T06:00:00Z,PT60M,8.2,-123,39.0,0,0,0,0,0,0.8,148
2019-04-24T08:00:00Z,2019-04-24T07:00:00Z,PT60M,7.8,-108,36.1,0,0,0,0,0,0.6,136
2019-04-24T09:00:00Z,2019-04-24T08:00:00Z,PT60M,7.5,-97,35.4,0,0,0,0,0,0.4,124
2019-04-24T10:00:00Z,2019-04-24T09:00:00Z,PT60M,7.3,-89,41.9,0,0,0,0,0,0.3,111
2019-04-24T11:00:00Z,2019-04-24T10:00:00Z,PT60M,7.1,-81,30.0,0,0,0,0,0,0.5,99
2019-04-24T12:00:00Z,2019-04-24T11:00:00Z,PT60M,6.9,-73,30.2,22,0,0,22,22,0.6,87
2019-04-24T13:00:00Z,2019-04-24T12:00:00Z,PT60M,7.0,-64,40.6,93,0,0,93,93,0.7,75
2019-04-24T14:00:00Z,2019-04-24T13:00:00Z,PT60M,7.5,-53,52.2,159,0,0,159,159,0.6,64
2019-04-24T15:00:00Z,2019-04-24T14:00:00Z,PT60M,8.1,-40,61.1,189,0,0,189,189,0.6,55
2019-04-24T16:00:00Z,2019-04-24T15:00:00Z,PT60M,8.4,-23,70.0,175,0,0,175,175,0.6,48
2019-04-24T17:00:00Z,2019-04-24T16:00:00Z,PT60M,8.5,-4,76.0,151,0,0,151,151,0.6,45
2019-04-24T18:00:00Z,2019-04-24T17:00:00Z,PT60M,8.7,17,71.0,174,0,0,174,174,0.7,47
2019-04-24T19:00:00Z,2019-04-24T18:00:00Z,PT60M,8.5,34,74.3,130,0,0,130,130,0.8,52
2019-04-24T20:00:00Z,2019-04-24T19:00:00Z,PT60M,8.1,49,80.1,74,0,0,74,74,0.8,61
2019-04-24T21:00:00Z,2019-04-24T20:00:00Z,PT60M,7.8,60,49.4,105,0,0,105,105,1.1,71
2019-04-24T22:00:00Z,2019-04-24T21:00:00Z,PT60M,7.5,70,28.9,43,0,0,43,43,0.9,82
2019-04-24T23:00:00Z,2019-04-24T22:00:00Z,PT60M,7.4,78,1.5,1,0,0,1,1,0.4,95
2019-04-25T00:00:00Z,2019-04-24T23:00:00Z,PT60M,7.4,86,0.0,0,0,0,0,0,0.3,107
2019-04-25T01:00:00Z,2019-04-25T00:00:00Z,PT60M,7.0,94,0.0,0,0,0,0,0,0.7,120
2019-04-25T02:00:00Z,2019-04-25T01:00:00Z,PT60M,6.4,104,0.0,0,0,0,0,0,1.1,132
2019-04-25T03:00:00Z,2019-04-25T02:00:00Z,PT60M,5.7,117,0.0,0,0,0,0,0,1.6,144
2019-04-25T04:00:00Z,2019-04-25T03:00:00Z,PT60M,5.5,138,0.0,0,0,0,0,0,1.8,154
2019-04-25T05:00:00Z,2019-04-25T04:00:00Z,PT60M,5.5,173,0.0,0,0,0,0,0,1.8,159
2019-04-25T06:00:00Z,2019-04-25T05:00:00Z,PT60M,5.5,-148,0.0,0,0,0,0,0,1.8,157
2019-04-25T07:00:00Z,2019-04-25T06:00:00Z,PT60M,5.4,-123,0.0,0,0,0,0,0,1.8,148
2019-04-25T08:00:00Z,2019-04-25T07:00:00Z,PT60M,5.2,-107,0.0,0,0,0,0,0,1.8,136
2019-04-25T09:00:00Z,2019-04-25T08:00:00Z,PT60M,5.0,-97,0.0,0,0,0,0,0,1.7,124
2019-04-25T10:00:00Z,2019-04-25T09:00:00Z,PT60M,5.0,-88,0.0,0,0,0,0,0,1.8,112
2019-04-25T11:00:00Z,2019-04-25T10:00:00Z,PT60M,5.1,-81,3.6,0,0,0,0,0,2.0,99
2019-04-25T12:00:00Z,2019-04-25T11:00:00Z,PT60M,5.3,-73,8.2,24,71,7,31,27,2.3,87
2019-04-25T13:00:00Z,2019-04-25T12:00:00Z,PT60M,6.3,-64,41.3,117,3,1,118,118,2.0,75
2019-04-25T14:00:00Z,2019-04-25T13:00:00Z,PT60M,8.2,-53,48.9,201,0,0,201,201,1.2,64
2019-04-25T15:00:00Z,2019-04-25T14:00:00Z,PT60M,10.0,-40,22.0,248,316,188,436,503,0.7,55
2019-04-25T16:00:00Z,2019-04-25T15:00:00Z,PT60M,11.4,-23,0.1,83,874,577,660,723,1.0,49
2019-04-25T17:00:00Z,2019-04-25T16:00:00Z,PT60M,12.4,-4,0.0,85,888,619,704,709,1.6,46
2019-04-25T18:00:00Z,2019-04-25T17:00:00Z,PT60M,13.3,16,0.0,86,875,594,680,714,2.3,47
