PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,WindSpeed10m,Zenith
2019-01-22T00:00:00Z,2019-01-21T23:00:00Z,PT60M,22.7,112,0.0,17,289,35,51,12,60,2.3,86
2019-01-22T01:00:00Z,2019-01-22T00:00:00Z,PT60M,21.2,120,0.0,0,0,0,0,0,0,1.5,97
2019-01-22T02:00:00Z,2019-01-22T01:00:00Z,PT60M,19.1,130,0.0,0,0,0,0,0,0,0.6,107
2019-01-22T03:00:00Z,2019-01-22T02:00:00Z,PT60M,17.1,142,0.0,0,0,0,0,0,0,0.3,116
2019-01-22T04:00:00Z,2019-01-22T03:00:00Z,PT60M,15.5,157,0.0,0,0,0,0,0,0,0.7,122
2019-01-22T05:00:00Z,2019-01-22T04:00:00Z,PT60M,14.4,173,0.0,0,0,0,0,0,0,0.8,125
2019-01-22T06:00:00Z,2019-01-22T05:00:00Z,PT60M,13.3,-169,0.0,0,0,0,0,0,0,0.8,125
2019-01-22T07:00:00Z,2019-01-22T06:00:00Z,PT60M,11.8,-153,0.0,0,0,0,0,0,0,1.0,121
2019-01-22T08:00:00Z,2019-01-22T07:00:00Z,PT60M,10.1,-139,0.0,0,0,0,0,0,0,1.1,114
2019-01-22T09:00:00Z,2019-01-22T08:00:00Z,PT60M,8.5,-128,1.7,0,0,0,0,0,0,1.2,105
2019-01-22T10:00:00Z,2019-01-22T09:00:00Z,PT60M,8.7,-118,18.6,0,0,0,0,0,0,1.2,95
2019-01-22T11:00:00Z,2019-01-22T10:00:00Z,PT60M,10.7,-110,16.8,37,259,40,77,35,130,1.1,83
2019-01-22T12:00:00Z,2019-01-22T11:00:00Z,PT60M,12.8,-102,0.0,49,787,252,301,178,807,0.9,72
2019-01-22T13:00:00Z,2019-01-22T12:00:00Z,PT60M,15.5,-94,5.8,129,742,371,500,411,922,0.4,59
2019-01-22T14:00:00Z,2019-01-22T13:00:00Z,PT60M,18.8,-86,4.5,132,851,587,719,658,1018,1.0,47
2019-01-22T15:00:00Z,2019-01-22T14:00:00Z,PT60M,22.1,-75,2.4,124,949,779,903,867,1080,2.1,35
