PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,WindSpeed10m,Zenith
2018-09-25T00:00:00Z,2018-09-24T23:00:00Z,PT60M,12.0,98,1.8,0,0,0,0,0,1.5,101
2018-09-25T01:00:00Z,2018-09-25T00:00:00Z,PT60M,10.8,107,6.0,0,0,0,0,0,1.4,114
2018-09-25T02:00:00Z,2018-09-25T01:00:00Z,PT60M,9.1,118,0.3,0,0,0,0,0,1.4,125
2018-09-25T03:00:00Z,2018-09-25T02:00:00Z,PT60M,7.4,132,0.0,0,0,0,0,0,1.5,136
2018-09-25T04:00:00Z,2018-09-25T03:00:00Z,PT60M,6.3,152,0.0,0,0,0,0,0,1.7,143
2018-09-25T05:00:00Z,2018-09-25T04:00:00Z,PT60M,6.0,178,0.0,0,0,0,0,0,1.7,147
2018-09-25T06:00:00Z,2018-09-25T05:00:00Z,PT60M,5.7,-156,0.0,0,0,0,0,0,1.7,144
2018-09-25T07:00:00Z,2018-09-25T06:00:00Z,PT60M,5.3,-135,0.0,0,0,0,0,0,1.7,137
2018-09-25T08:00:00Z,2018-09-25T07:00:00Z,PT60M,5.0,-120,0.0,0,0,0,0,0,1.7,127
2018-09-25T09:00:00Z,2018-09-25T08:00:00Z,PT60M,4.6,-108,0.0,0,0,0,0,0,1.7,116
2018-09-25T10:00:00Z,2018-09-25T09:00:00Z,PT60M,4.9,-99,0.0,0,0,0,0,0,1.6,103
2018-09-25T11:00:00Z,2018-09-25T10:00:00Z,PT60M,5.8,-91,0.9,6,67,6,13,13,1.4,91
2018-09-25T12:00:00Z,2018-09-25T11:00:00Z,PT60M,6.6,-83,12.7,76,310,59,134,144,1.2,78
2018-09-25T13:00:00Z,2018-09-25T12:00:00Z,PT60M,8.4,-74,20.9,166,301,136,301,326,0.7,66
2018-09-25T14:00:00Z,2018-09-25T13:00:00Z,PT60M,10.9,-63,9.5,168,615,350,517,588,0.6,54
2018-09-25T15:00:00Z,2018-09-25T14:00:00Z,PT60M,13.4,-48,37.1,369,135,95,463,470,1.2,44
2018-09-25T16:00:00Z,2018-09-25T15:00:00Z,PT60M,14.9,-28,23.8,403,294,237,640,683,1.7,36
2018-09-25T17:00:00Z,2018-09-25T16:00:00Z,PT60M,15.4,-2,30.1,462,183,154,616,636,2.0,33
2018-09-25T18:00:00Z,2018-09-25T17:00:00Z,PT60M,15.9,25,33.0,496,90,74,570,566,2.3,35
2018-09-25T19:00:00Z,2018-09-25T18:00:00Z,PT60M,15.8,46,32.8,433,100,71,504,501,2.4,42
2018-09-25T20:00:00Z,2018-09-25T19:00:00Z,PT60M,15.2,61,29.7,348,118,73,421,425,2.2,52
2018-09-25T21:00:00Z,2018-09-25T20:00:00Z,PT60M,14.7,72,23.9,222,185,81,303,314,2.0,64
2018-09-25T22:00:00Z,2018-09-25T21:00:00Z,PT60M,13.9,81,23.0,111,131,32,143,145,1.5,76
2018-09-25T23:00:00Z,2018-09-25T22:00:00Z,PT60M,13.1,90,50.0,13,2,0,13,12,0.8,89
2018-09-26T00:00:00Z,2018-09-25T23:00:00Z,PT60M,12.3,98,44.0,0,0,0,0,0,0.9,101
2018-09-26T01:00:00Z,2018-09-26T00:00:00Z,PT60M,11.0,107,30.2,0,0,0,0,0,1.2,114
2018-09-26T02:00:00Z,2018-09-26T01:00:00Z,PT60M,9.5,118,29.8,0,0,0,0,0,1.2,125
2018-09-26T03:00:00Z,2018-09-26T02:00:00Z,PT60M,7.9,133,29.2,0,0,0,0,0,1.3,136
2018-09-26T04:00:00Z,2018-09-26T03:00:00Z,PT60M,7.2,153,25.2,0,0,0,0,0,1.3,143
2018-09-26T05:00:00Z,2018-09-26T04:00:00Z,PT60M,7.2,178,29.9,0,0,0,0,0,1.2,146
2018-09-26T06:00:00Z,2018-09-26T05:00:00Z,PT60M,7.3,-156,30.1,0,0,0,0,0,1.0,144
2018-09-26T07:00:00Z,2018-09-26T06:00:00Z,PT60M,7.5,-135,32.6,0,0,0,0,0,1.0,137
2018-09-26T08:00:00Z,2018-09-26T07:00:00Z,PT60M,7.7,-120,32.3,0,0,0,0,0,1.0,127
2018-09-26T09:00:00Z,2018-09-26T08:00:00Z,PT60M,7.9,-109,31.1,0,0,0,0,0,1.1,115
2018-09-26T10:00:00Z,2018-09-26T09:00:00Z,PT60M,8.3,-99,32.1,0,0,0,0,0,1.1,103
2018-09-26T11:00:00Z,2018-09-26T10:00:00Z,PT60M,8.9,-91,27.4,8,0,0,8,8,1.1,90
2018-09-26T12:00:00Z,2018-09-26T11:00:00Z,PT60M,9.4,-83,52.3,76,11,4,79,76,1.0,78
2018-09-26T13:00:00Z,2018-09-26T12:00:00Z,PT60M,10.7,-74,23.3,206,192,75,281,289,1.0,66
2018-09-26T14:00:00Z,2018-09-26T13:00:00Z,PT60M,12.6,-63,42.6,307,28,15,322,309,1.6,54
2018-09-26T15:00:00Z,2018-09-26T14:00:00Z,PT60M,14.5,-48,64.2,259,0,0,259,245,2.6,43
2018-09-26T16:00:00Z,2018-09-26T15:00:00Z,PT60M,15.6,-28,66.0,285,0,0,285,269,3.2,36
2018-09-26T17:00:00Z,2018-09-26T16:00:00Z,PT60M,15.9,-2,62.4,330,0,0,330,312,3.4,32
2018-09-26T18:00:00Z,2018-09-26T17:00:00Z,PT60M,16.1,25,56.7,366,0,0,366,346,3.7,35
2018-09-26T19:00:00Z,2018-09-26T18:00:00Z,PT60M,15.8,46,66.8,249,0,0,249,235,3.7,42
2018-09-26T20:00:00Z,2018-09-26T19:00:00Z,PT60M,15.0,61,84.2,93,0,0,93,88,3.4,52
2018-09-26T21:00:00Z,2018-09-26T20:00:00Z,PT60M,14.1,73,81.8,71,0,0,71,67,3.2,64
2018-09-26T22:00:00Z,2018-09-26T21:00:00Z,PT60M,13.0,82,60.6,65,0,0,65,62,2.6,76
2018-09-26T23:00:00Z,2018-09-26T22:00:00Z,PT60M,11.8,90,50.4,14,0,0,14,13,1.9,89
2018-09-27T00:00:00Z,2018-09-26T23:00:00Z,PT60M,10.5,98,59.1,0,0,0,0,0,1.1,101
2018-09-27T01:00:00Z,2018-09-27T00:00:00Z,PT60M,9.6,108,58.8,0,0,0,0,0,0.8,114
2018-09-27T02:00:00Z,2018-09-27T01:00:00Z,PT60M,9.3,119,52.1,0,0,0,0,0,0.8,125
2018-09-27T03:00:00Z,2018-09-27T02:00:00Z,PT60M,8.9,133,44.9,0,0,0,0,0,0.9,135
2018-09-27T04:00:00Z,2018-09-27T03:00:00Z,PT60M,8.7,153,44.3,0,0,0,0,0,1.2,143
