PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,WindSpeed10m,Zenith
2019-08-27T00:00:00Z,2019-08-26T23:00:00Z,PT60M,12.8,87,49.9,0,0,0,0,0,0,1.2,105
2019-08-27T01:00:00Z,2019-08-27T00:00:00Z,PT60M,12.6,96,31.6,0,0,0,0,0,0,0.9,118
2019-08-27T02:00:00Z,2019-08-27T01:00:00Z,PT60M,12.2,106,5.7,0,0,0,0,0,0,0.5,130
2019-08-27T03:00:00Z,2019-08-27T02:00:00Z,PT60M,11.7,120,16.3,0,0,0,0,0,0,0.4,141
2019-08-27T04:00:00Z,2019-08-27T03:00:00Z,PT60M,11.6,140,1.1,0,0,0,0,0,0,0.5,151
2019-08-27T05:00:00Z,2019-08-27T04:00:00Z,PT60M,11.7,171,0.0,0,0,0,0,0,0,0.4,156
2019-08-27T06:00:00Z,2019-08-27T05:00:00Z,PT60M,11.5,-154,0.0,0,0,0,0,0,0,0.6,154
2019-08-27T07:00:00Z,2019-08-27T06:00:00Z,PT60M,11.3,-128,0.0,0,0,0,0,0,0,0.4,146
2019-08-27T08:00:00Z,2019-08-27T07:00:00Z,PT60M,11.2,-112,0.0,0,0,0,0,0,0,0.4,135
2019-08-27T09:00:00Z,2019-08-27T08:00:00Z,PT60M,11.6,-101,0.0,0,0,0,0,0,0,0.7,124
2019-08-27T10:00:00Z,2019-08-27T09:00:00Z,PT60M,11.8,-92,0.0,0,0,0,0,0,0,0.7,111
2019-08-27T11:00:00Z,2019-08-27T10:00:00Z,PT60M,11.7,-83,0.0,0,0,0,0,0,0,0.8,99
2019-08-27T12:00:00Z,2019-08-27T11:00:00Z,PT60M,12.2,-75,1.9,17,189,22,39,68,44,0.9,87
2019-08-27T13:00:00Z,2019-08-27T12:00:00Z,PT60M,14.0,-66,8.7,69,443,124,193,281,423,0.8,75
2019-08-27T14:00:00Z,2019-08-27T13:00:00Z,PT60M,16.4,-55,9.7,135,521,218,353,474,626,0.8,64
2019-08-27T15:00:00Z,2019-08-27T14:00:00Z,PT60M,18.8,-42,13.5,195,492,287,483,616,604,0.9,55
2019-08-27T16:00:00Z,2019-08-27T15:00:00Z,PT60M,20.9,-25,3.4,130,767,511,641,860,705,1.0,48
2019-08-27T17:00:00Z,2019-08-27T16:00:00Z,PT60M,22.8,-5,6.6,179,690,488,667,877,673,1.5,45
2019-08-27T18:00:00Z,2019-08-27T17:00:00Z,PT60M,24.1,16,8.7,202,627,434,636,828,660,1.9,46
2019-08-27T19:00:00Z,2019-08-27T18:00:00Z,PT60M,24.4,34,11.7,204,540,341,545,698,631,2.1,51
2019-08-27T20:00:00Z,2019-08-27T19:00:00Z,PT60M,23.7,49,20.2,225,303,158,383,462,500,2.2,59
2019-08-27T21:00:00Z,2019-08-27T20:00:00Z,PT60M,22.3,61,16.9,143,300,104,248,313,434,2.1,70
2019-08-27T22:00:00Z,2019-08-27T21:00:00Z,PT60M,19.6,71,18.8,57,184,39,96,128,166,1.7,81
2019-08-27T23:00:00Z,2019-08-27T22:00:00Z,PT60M,16.8,79,28.1,3,0,0,3,3,3,1.3,93
2019-08-28T00:00:00Z,2019-08-27T23:00:00Z,PT60M,15.5,88,30.0,0,0,0,0,0,0,1.1,105
