PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,RelativeHumidity,WindSpeed10m
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,16.4,1.1,10,74,16,78.7,2.2
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,15.2,0.0,0,0,0,86.7,1.9
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,15.0,0.0,0,0,0,87.3,1.3
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,14.9,0.0,0,0,0,87.0,0.6
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,14.7,0.0,0,0,0,86.9,0.7
2020-01-01T05:00:00Z,2020-01-01T04:00:00Z,PT60M,14.4,0.0,0,0,0,87.9,0.8
2020-01-01T06:00:00Z,2020-01-01T05:00:00Z,PT60M,14.5,0.0,0,0,0,88.3,0.9
2020-01-01T07:00:00Z,2020-01-01T06:00:00Z,PT60M,14.7,0.0,0,0,0,87.3,0.9
2020-01-01T08:00:00Z,2020-01-01T07:00:00Z,PT60M,14.7,0.0,0,0,0,87.2,0.8
2020-01-01T09:00:00Z,2020-01-01T08:00:00Z,PT60M,14.7,0.0,0,0,0,86.7,0.8
2020-01-01T10:00:00Z,2020-01-01T09:00:00Z,PT60M,14.4,0.0,0,0,0,86.1,0.6
2020-01-01T11:00:00Z,2020-01-01T10:00:00Z,PT60M,14.9,12.8,55,59,62,81.5,0.4
2020-01-01T12:00:00Z,2020-01-01T11:00:00Z,PT60M,16.5,17.1,148,254,243,74.6,0.7
2020-01-01T13:00:00Z,2020-01-01T12:00:00Z,PT60M,17.6,1.8,123,729,515,71.2,2.2
2020-01-01T14:00:00Z,2020-01-01T13:00:00Z,PT60M,18.0,0.3,126,857,741,70.8,2.6
2020-01-01T15:00:00Z,2020-01-01T14:00:00Z,PT60M,18.2,1.2,154,877,908,71.0,2.4
2020-01-01T16:00:00Z,2020-01-01T15:00:00Z,PT60M,18.5,0.0,131,952,1039,69.9,2.5
2020-01-01T17:00:00Z,2020-01-01T16:00:00Z,PT60M,18.9,0.0,136,960,1092,68.1,2.9
2020-01-01T18:00:00Z,2020-01-01T17:00:00Z,PT60M,19.3,0.0,139,954,1074,66.5,3.3
2020-01-01T19:00:00Z,2020-01-01T18:00:00Z,PT60M,19.3,0.0,136,937,989,66.2,3.5
2020-01-01T20:00:00Z,2020-01-01T19:00:00Z,PT60M,19.0,0.0,126,903,840,67.6,3.6
2020-01-01T21:00:00Z,2020-01-01T20:00:00Z,PT60M,18.5,0.0,110,842,639,70.1,3.4
2020-01-01T22:00:00Z,2020-01-01T21:00:00Z,PT60M,17.9,0.0,87,734,406,72.9,2.8
2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,PT60M,17.2,1.8,58,478,172,76.9,2.2
2020-01-02T00:00:00Z,2020-01-01T23:00:00Z,PT60M,16.2,26.3,11,23,14,83.5,1.7
2020-01-02T01:00:00Z,2020-01-02T00:00:00Z,PT60M,15.4,1.1,0,0,0,88.2,1.3
2020-01-02T02:00:00Z,2020-01-02T01:00:00Z,PT60M,15.1,0.0,0,0,0,88.9,0.8
2020-01-02T03:00:00Z,2020-01-02T02:00:00Z,PT60M,14.9,0.0,0,0,0,89.7,0.4
2020-01-02T04:00:00Z,2020-01-02T03:00:00Z,PT60M,14.8,0.0,0,0,0,90.2,1.4
2020-01-02T05:00:00Z,2020-01-02T04:00:00Z,PT60M,14.9,0.0,0,0,0,89.0,1.5
2020-01-02T06:00:00Z,2020-01-02T05:00:00Z,PT60M,14.8,0.0,0,0,0,88.0,1.3
2020-01-02T07:00:00Z,2020-01-02T06:00:00Z,PT60M,14.6,0.0,0,0,0,88.2,1.0
2020-01-02T08:00:00Z,2020-01-02T07:00:00Z,PT60M,14.1,0.0,0,0,0,89.2,0.8
2020-01-02T09:00:00Z,2020-01-02T08:00:00Z,PT60M,14.0,0.0,0,0,0,88.4,0.6
2020-01-02T10:00:00Z,2020-01-02T09:00:00Z,PT60M,14.1,0.0,0,0,0,86.8,0.4
2020-01-02T11:00:00Z,2020-01-02T10:00:00Z,PT60M,14.8,15.5,54,27,56,84.3,0.2
2020-01-02T12:00:00Z,2020-01-02T11:00:00Z,PT60M,16.2,12.5,125,343,253,77.5,0.5
2020-01-02T13:00:00Z,2020-01-02T12:00:00Z,PT60M,17.2,0.0,107,767,520,71.9,1.4
2020-01-02T14:00:00Z,2020-01-02T13:00:00Z,PT60M,17.9,0.0,122,864,740,69.9,1.9
2020-01-02T15:00:00Z,2020-01-02T14:00:00Z,PT60M,18.4,0.0,128,921,918,68.6,2.1
2020-01-02T16:00:00Z,2020-01-02T15:00:00Z,PT60M,18.8,0.0,120,965,1039,67.2,2.5
2020-01-02T17:00:00Z,2020-01-02T16:00:00Z,PT60M,19.0,0.0,122,975,1091,66.2,2.7
2020-01-02T18:00:00Z,2020-01-02T17:00:00Z,PT60M,19.2,0.0,122,970,1073,65.6,3.1
2020-01-02T19:00:00Z,2020-01-02T18:00:00Z,PT60M,19.4,0.0,118,955,987,65.5,3.4
